76,45764,29083726,1855
69,16044,10706312,200
34,46627,64417854,2026
124,19921,6671619,151
418,46845,4544530,135
121,33245,13655615,776
365,10441,653746,5
250,10016,2019440,66
165,6002,1795809,32
138,15508,5477989,93
167,3399,1074892,6
475,6813,459243,7
415,23236,2701542,196
32,21452,32238738,476
316,34072,5108712,215
143,10428,3567804,41
68,1581,1222783,1
386,4474,417403,8
180,17832,4588175,136
347,49726,7178850,991
429,28953,3164669,147
483,20067,1901677,160
447,18799,1855897,108
34,747,741332,0
192,26780,6603953,238
81,24583,13065987,381
399,47632,4617812,239
53,31106,27899059,506
55,29072,26466584,588
249,2064,474715,1
405,10967,911720,14
61,43235,35179280,2061
289,41823,7587883,381
465,40086,3796153,196
453,30198,3352293,180
102,33181,16038946,792
4,15707,148939893,1941
240,23597,4256863,85
37,33009,43080269,1077
33,43407,64393789,1695
449,42290,4755590,373
448,40244,4042853,171
274,10130,1172698,18
93,45483,23354122,1753
42,48756,54119662,2069
444,11761,1278576,39
180,22961,5926549,146
314,14429,1999376,44
402,9102,1168968,21
77,37249,22464249,1114
141,2020,465571,1
402,9387,838487,21
61,2937,1618200,2
363,43659,5755499,336
55,33114,28790578,1071
451,5836,400758,10
455,21811,2309555,81
233,49088,9597377,494
459,34872,3968170,318
192,407,85655,0
481,12576,1104638,39
380,39299,4160934,170
313,18852,2790070,82
174,38994,11535976,662
445,23733,2543197,116
10,47846,209257351,5282
352,21172,3104272,164
374,46149,5228197,254
356,9425,1293054,40
463,16764,1711351,183
100,26489,13411044,532
197,42501,10992392,801
471,49689,4780085,568
44,47901,51212839,2528
404,30168,3157224,294
134,31698,12170555,584
62,16615,13911737,186
175,14805,4193031,69
103,29470,13062267,497
401,27475,3673826,163
358,21482,2164502,89
176,10636,2175174,40
312,9206,1306623,30
238,47489,9533639,820
442,4289,183711,2
65,3020,2338226,10
309,41673,6768930,334
103,20069,9178571,331
298,7625,861680,7
115,7749,3353303,26
212,17483,3833341,41
236,14371,3343196,73
175,28969,8502935,314
10,5568,24143429,77
230,41377,8663660,765
71,4426,3494954,14
469,34803,3445077,189
206,5326,1073951,14
220,31309,7042705,233
280,9293,1559431,42
352,42950,5405630,338
12,36422,135468328,2804
491,8517,669532,26
225,29533,5248064,361
395,27070,3668153,211
315,19445,3387980,75
450,48828,5750906,448
266,801,135520,0
223,24364,5084330,209
445,48191,5733914,275
20,8132,18923217,96
187,22372,6004812,91
368,6783,643459,4
254,26214,4231389,78
369,14632,2081524,136
30,37959,57113413,1526
152,38524,13679184,956
218,31533,7362207,263
343,49439,7205124,580
27,15551,26930331,358
28,38599,66240510,1670
36,9727,12328708,88
192,49870,12633978,1065
382,10228,1136200,31
264,29004,4457234,144
415,44219,4206724,370
233,39203,7936351,519
90,4578,2236146,12
314,597,85073,0
466,6971,972046,27
272,48269,8721488,400
230,49559,10002132,1141
329,8356,1390054,33
255,1983,310915,0
143,1070,367888,0
301,30924,4913736,189
206,6187,921997,13
199,11437,2240504,34
92,29334,14418119,485
405,38922,5186862,191
315,19137,2754495,96
500,16440,1376953,31
4,7782,72531165,522
230,25863,5403269,112
450,9870,997198,42
455,34449,4216858,262
279,16408,3090151,55
419,33462,4049118,206
277,7422,1372725,28
22,39111,84016107,1466
410,2600,176341,1
273,6866,814048,10
190,34703,8544790,666
65,46735,34345436,2053
322,37860,5674061,264
283,6883,1002393,24
457,9500,1166465,44
317,48764,6833916,489
287,23196,3738354,71
59,1954,1391741,6
14,16927,56804498,457
239,40039,7485615,356
321,40269,6236717,328
303,13501,1699406,114
402,23842,2670617,280
401,6169,773968,21
